0   2549.36028283   -1599.58897347  -4052.81316375  11619.1039066   -5980.76700243
1   2441.11177735   -676.331164238  -7881.53143592  16926.8922296   -8379.13170607
2   2077.28362346   -743.629854697  -7772.15150155  16737.3955608   -8237.147237
3   2282.74926719   -1035.79861161  -6128.00463231  14299.6215915   -7088.45175831
4   2076.10541911   -1741.14399565  -1717.00084625  6666.48249994   -3172.66953884
5   2059.39534189   -1652.82002661  -2077.34949358  7222.7911549    -3453.44654551
6   2509.7567112    -945.479282186  -2118.27290659  6221.86724588   -3130.17395645
7   2068.72865523   -783.575324932  -3048.20390781  7262.49420802   -3302.51566805
8   2539.83642547   -804.76020464   -2548.78521473  7189.83813697   -3799.29509501
9   2209.90514163   -2128.56322035  -449.026828278  5264.8823188    -2646.63037973
10  2007.77955516   -701.674832872  -7212.34043042  15528.3586809   -7560.32737131
11  2159.45285429   -877.612670018  -6424.36746939  14201.4501224   -6781.10784965
12  2710.16583129   277.461859589   -4370.34050577  8060.04432432   -3896.63569404
13  2576.7454909    -486.045279568  -1099.95547718  3003.37958255   -1369.87429046
14  2739.55990253   -516.447542258  -1272.67158581  3298.90186298   -1457.59825043
15  2556.46475404   -450.495888534  -976.037580032  2401.90009544   -908.577406302
16  2598.16792245   -3596.13016055  13337.7407011   -19157.9479886  9321.77546979
17  2671.52457553   -3239.7182617   12236.5961863   -17532.1210454  8439.94817442
18  2351.65904712   -737.086371891  -7877.86349047  17165.4450527   -8519.56298447
19  1918.65470868   -1434.62981886  -4565.11340782  12567.3522273   -6504.29547645
20  2220.12534551   -1189.12247375  -4812.46194922  11525.605017    -5429.99260527
21  2350.31629209   -458.850967089  -8585.73740401  17804.6036273   -8716.49308397
22  2362.7787294    -728.086040985  -8047.55044334  17395.9522643   -8624.92758617
23  2423.05145511   -947.240576187  -6809.9147827   15664.7825944   -7852.46166155
